Melbourne & Sydney 10D/9N for Two Pax,,,,,,,,,
,,,,,,,,,
Flights,,,,,,,,,
Date,Destination,Departure,Arrival,Airline,Flight No.,Departure / Arrival,Actual Cost,Notes,
7 Nov,"Kuching
To
Kuala Lumpur",Kuching Intl. (KCH),Kuala Lumpur Intl. (KUL),Malaysia Airlines,MH xxx,14:00 / 15:30,RM200,https://www.oneworld.com/airport-lounge-results?location=KCH,
8 Nov,"Kuala Lumpur
To
Melbourne",Kuala Lumpur Intl. (KUL),Melbourne Tullamarine Intl. (MEL),Malaysia Airlines,MH 251,20:30 / 07:55⁺¹,RM3400,https://www.oneworld.com/airport-lounge-results?location=KUL,
15 Nov,"Melbourne
To
Sydney",Melbourne Tullamarine Intl. (MEL),Sydney Kingsford Intl. (SYD),Qantas Airways,QF xxx,11:00 / 12:25,RM1000,https://www.oneworld.com/airport-lounge-results?location=MEL,
19 Nov,"Sydney
To
Kuala Lumpur",Sydney Kingsford Intl. (SYD),Kuala Lumpur Intl. (KUL),Malaysia Airlines,MH xxx,15:10 / 20:25,RM4200,https://www.oneworld.com/airport-lounge-results?location=SYD,
20 Nov,"Kuala Lumpur
To
Kuching",Kuala Lumpur Intl. (KUL),Kuching Intl. (KCH),Malaysia Airlines,MH xxx,14:00 / 15:30,RM200,https://www.oneworld.com/airport-lounge-results?location=KUL,
,,,,,,Total,RM9000,,
,,,,,,,,,
Accomodation,,,,,,,,,
Date,City,Accommodation,Check In,Check Out,Duration (Nights),Budget Per Night,Total,Notes,
9 Nov,Melbourne,,9 Nov,15 Nov,6,RM500,RM3000,
15 Nov,Sydney,,15 Nov,19 Nov,4,RM500,RM2000,
,,,,,Total,,RM5000,,
,,,,,,,,,
Food,,,,,,,,,
Date,City,Duration (Days),Daily Estimate (Two Pax),Total,Notes,,,
"9 Nov -
15 Nov","Melbourne",6,RM150,RM900,,,,
"15 Nov -
19 Nov","Sydney",5,RM150,RM750,,,,
,,,Total,RM1650,,,,
,,,,,,,,,
Transportation,,,,,,,,,
Date,City,Duration (Days),Daily Estimate (Two Pax),Total,Notes,,,
"9 Nov -
15 Nov",Melbourne,6,RM50,RM300,Myki & car rental for Great Ocean Road,,,
"15 Nov -
19 Nov",Sydney,5,RM50,RM250,,,,
,,,Total,RM550,,,,
,,,,,,,,,
,,,,,,,,,
Activities & Utilities,,,,,,,,,
Date,Item,Cost (Two Pax),Notes,,,,,,
,Visa: Subclass 601 ETA,RM120,,,,,,,
,Data Roaming,RM100,,,,,,,
,Travel Insurance,RM200,,,,,,,
,,Total,RM420,,,,,
,,,,,,,,,
,,,,,,Total,RM16620,,
TLDR,,,,,,,,,
Aaron Budget,RM13200,,,,,,,
Andrea Budget,RM2340,,,,,,,
Estimate,,,,,,,,,
Total,RM16620,,,,,,,
Balance,,,,,,,,,
